Name: CCTV-1, URL: http://123.117.237.15:8680/udp/239.3.1.129:8008$订阅源, Date: None, Delay: 193 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://1732e975z9.zicp.fun:8082/hls/1/index.m3u8$订阅源, Date: None, Delay: 748 ms, Speed: 0.04 M/s, Resolution: None
Name: CCTV-1, URL: http://123.117.174.237:30000/rtp/239.3.1.129:8008$组播源, Date: None, Delay: 197 ms, Speed: 0.32 M/s, Resolution: None
Name: CCTV-1, URL: http://101.19.84.8:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 312 ms, Speed: 0.14 M/s, Resolution: None
Name: CCTV-1, URL: http://119.125.134.228:9902/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 90 ms, Speed: 0.42 M/s, Resolution: None
Name: CCTV-1, URL: http://116.117.104.39:8096/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 186 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV-1, URL: http://60.7.56.33:4000/udp/239.253.92.83:8012$订阅源, Date: None, Delay: 131 ms, Speed: 0.17 M/s, Resolution: None
Name: CCTV-1, URL: http://221.219.79.161:4000/rtp/239.3.1.129:8008$组播源, Date: None, Delay: 210 ms, Speed: 0.66 M/s, Resolution: None
Name: CCTV-1, URL: http://ced8ee.tv.netsite.cc/proxy/1387573383/1387573383.m3u8$订阅源, Date: None, Delay: 41 ms, Speed: 10.91 M/s, Resolution: None
Name: CCTV-1, URL: http://183.133.104.164:8899/rtp/233.50.201.118:5140$组播源, Date: None, Delay: 36 ms, Speed: 0.90 M/s, Resolution: None
Name: CCTV-1, URL: http://117.190.144.101:1111/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 183 ms, Speed: 0.88 M/s, Resolution: None
Name: CCTV-1, URL: http://110.7.129.116:8096/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 181 ms, Speed: 0.07 M/s, Resolution: None
